,"NABU Stadtverband","NAJU","Name","Anmerkung","Straße","PLZ","Ort","Zielgruppe","Homepage"
"A","Aachen","Aachen ",,,,,,"Kind","http://www.nabu-aachen.de/?q=Kinder_Jugend"
"B","Bielefeld","Bielefeld ",,,,,,"Jugend","http://www.nabu-bielefeld.de/weitere-nabu-gruppen-kindergruppe-jugendgruppe-bauerngarten/"
,"Bielefeld","Bielefeld ",,,,,,"Grundschulalter","http://www.nabu-bielefeld.de/weitere-nabu-gruppen-kindergruppe-jugendgruppe-bauerngarten/"
,"Bochum","Bochum ",,,,,,"6-12 Jahre","http://www.nabu-bochum.de/Die-NAJU-Gruppe-Bochum.909135.0.html"
,"Bonn","Bonn ",,,,,,"12-18 Jahre","http://nabu-bonn.de/front_content.php?idcat=690"
,"Bonn","Bonn","NAJU-Naturforscher",,,,,"7 - 10 Jahre","http://nabu-bonn.de/front_content.php?idcat=725"
,"Bonn","Bonn","Hofzwerge",,,,,"2-3 Jahre","http://nabu-bonn.de/front_content.php?idcat=639"
,"Borken","Bocholt  ",,,,,,"16-18 Jahre","http://www.nabu-borken.de/naturschutz/ortsgruppen/bocholt/naturschutzjugend-naju-bocholt/"
,"Borken","Rhede ",,,,,,"ab 8 Jahre","http://www.nabu-borken.de/naturschutz/naturschutzjugend-naju/"
,"Borken","Rhede",,"2 Gruppen",,,,"Kind","http://www.nabu-borken.de/naturschutz/naturschutzjugend-naju/"
,"Borken","Rhede ",,,,,,"Kind","http://www.nabu-borken.de/naturschutz/naturschutzjugend-naju/"
"C","Coesfeld","Coesfeld ",,,,,,"11 Familien","http://www.nabu-coesfeld.de/?page_id=1646"
,"Coesfeld","Coesfeld ",,,,,,"6-16 Jahre","http://nabu-coesfeld.de/arbeitsgruppen/familiengruppe"
,"Coesfeld","Coesfeld",,,,,,"10-13 Jahre","http://nabu-coesfeld.de/arbeitsgruppen/kindergruppe"
,"Coesfeld","Coesfeld ",,,,,,"13-16 Jahre","http://www.nabu-coesfeld.de/?page_id=9"
,"Coesfeld","Dülmen ",,,,,,"8-12 Jahre","http://www.nabu-coesfeld.de/?page_id=1232"
"D","Dortmund","Dortmund ",,,,,,"6 - 13 Jahre","http://www.nabu-dortmund.de/arbeitsgruppen/nabu-kids/"
,"Dortmund","Dortmund ",,,,,,"6-15 Jahre","http://www.nabu-dortmund.de/index.php?id=152"
,"Düsseldorf","Düsseldorf ",,,,,,"7-11 Jahre","http://www.nabu-duesseldorf.de/index.php/naju-duesseldorf"
"E","Ennepe-Ruhr-Kreis","Wetter ",,,,,,"6-9 Jahre","https://www.nabu-ennepe-ruhr.de/wir-%C3%BCber-uns/naju-en-kreis/"
,"Ennepe-Ruhr-Kreis","Wetter ",,,,,,"9-11 Jahre","https://www.nabu-ennepe-ruhr.de/wir-%C3%BCber-uns/naju-en-kreis/"
"H","Herford","Kirchlengern ",,,,,,"5-11 Jahre","https://www.nabu-im-kreis-herford.de/kindergruppe-kirchlengern/"
,"Holzminden","Holzminden","NAJU Niedersachsen OK16/17",,,,,"8 - 16 Jahren","http://www.nabu-holzminden.de/naju-naturschutzjugend/"
,"Höxter","Brakel ",,,,,,"8-10 Jahre","https://www.nabu-hx.de/projekte/umweltbildung/aktionen-mit-kindern/"
"K","Kempen","Kempen ",,,,,,"6-11 Jahre","http://www.nabu-kempen.de/Kindergruppe.html"
,"Kleve","Geldern-Issum ",,,,,,"8-18 Jahre","http://www.nabu-kleve.de/index.php?section=naju"
,"Köln","Köln Finkens Garten ",,,,,,"ab 4 Jahre","http://nabu-koeln.jimdo.com/naju-kindergruppen/finkens-garten/"
,"Köln","Köln Zoo ",,,,,,"7 - 15 Jahre","http://nabu-koeln.jimdo.com/naju-kindergruppen/zooschule/"
,"Köln","Köln Bocklemünd ",,,,,,"5-13 Jahre","http://nabu-koeln.jimdo.com/naju-kindergruppen/bocklem%C3%BCnd/"
,"Krefeld/Viersen","Grefrath ",,,,,,"6-10 Jahre","http://www.nabu-krefeld-viersen.de/?page_id=1792"
,"Krefeld/Viersen","Krefeld ",,,,,,"8-11 Jahre","http://www.nabu-krefeld-viersen.de/?page_id=1792"
,"Krefeld/Viersen","Nettetal ",,,,,,"2-4 Jahre + Eltern","http://www.nabu-krefeld-viersen.de/?page_id=4781"
,"Krefeld/Viersen","Nettetal ",,,,,,"ab 6 Jahren + (Groß) Eltern","http://www.nabu-krefeld-viersen.de/?page_id=4781"
,"Krefeld/Viersen","Nettetal ",,,,,,"ab 6 Jahren","http://www.nabu-krefeld-viersen.de/?page_id=4781"
,"Krefeld/Viersen","Nettetal ",,,,,,"ab 9 Jahren","http://www.nabu-krefeld-viersen.de/?page_id=4781"
